file_code,pass,is_fail_doc,category_name,relevancy,above_rel_cutoff,date
1114,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
1149,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
116,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
1235,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
1236,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
1415,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
1418,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
16,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
162,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
185,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
1883,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
1886,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
1929,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
2203,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
2207,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
222,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
2255,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
23,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
233,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
2370,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
2385,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
241,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
2458,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
26,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
2853,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
333,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
3339,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
344,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
3492,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
3522,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
3535,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
354,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
3555,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
3593,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
4252,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
44,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
473,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
515,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
564,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
68,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
720,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
73,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
865,1,0,Top/teacher_inadequancy/requirements,1.00,1,30May2014 17:20:08.0
